擊賞,擊賞
實數,實收入
幽冥,泉壤
爐殿,知殿
移去,移住
陶石,陶土
幕裨,幕中
桂魄,桂月
沒喫,沒喫
鐵道廳,韓國鐵道公社
泛論,氾論
堆積巖,成層巖
下吏,小吏
胎糞,胎屎
淺黑色,淡黑色
盜兒,偸兒
請求圖,請求圖
便箋紙,片紙紙
腰輿,腰輿
萬一,萬一
方耙,方耙
遍額,扁題
筆架,筆架
審査員,審査員
土侯國,王侯領
傾聽,傾聽
曠劫,永劫
捧上,捧納
迷路炎,內耳炎
豆芽,菽芽菜
日前,日前
天譴,天譴
花甁,花甁
河西州誓,五州誓
吾君萬年,吾君萬年
佯言,妄語
傳馬,傳馬
獨在論,獨在論
拍賣,拍賣
胸次,胸襟
太陽黑點,黑點
洪業,鴻業
同一率,同一率
鎔融爐,融解爐
定租,支定
失眞,失性
野天麻,益母草
短絡反應,短絡行動
堡壘,堡障
角粲,干伐飡
早斷,早斷
勿入,退凡
貸與,貸給
承襲,襲爵
嫡子,樹子
無賴輩,無賴輩
將指,長指
等比級數,幾何級數
望柱石表,望柱石
寸兵,寸兵
太一,太一
接客,接客
架空索道,架空索道
核果,核果
叡智界,叡智界
佛曙,佛曙
呼吸率,呼吸率
窮達,窮通
妾出,庶出
砂坑,沙坑
默祈禱,默祈禱
靈寢,靈寢
人定法,人定法
陸軟風,陸軟風
燕窩,燕窩
販賣路,販賣路
鄙人,鄙人
安東郡,安東郡
電力,電力
緯度尺,緯度尺
鯪鯉,鯪鯉
仙靈脾,仙靈脾
單板類,單板類
趁期,趁期
公札,公函
超人的,超人間的
圊廁,灰治粧
改衣,改衣
膏澤,膏血
奎運,奎運
息耗,殃慶禍福
槐安夢,白日夢
麴蘖,銀麴
路傍,路邊
植耕,植耕
書冊,載籍
縮首,縮頭
素因子,素因子
蘭契,金蘭契
狗耳草,牽牛花
晩年,老齡
宇宙,斗宇
同時設立,單純設立
宿志,夙志
家君,爺爺
高趣,高致
胎葉,發條
元嬪,元妃
自己流,自家流
陽宅,陽基
陰畫,原板
安堵,安心
浸液蟲類,滴蟲類
至緊至要,一緊
通靈草,密補藤
麻實油,麻油
炎凉,冷煖
姊婿,妹兄
凝縮機,凝結器
再服務,再服役
卓爾,卓然
當座手票,當座手票
每人,每人
苔蘚,莓苔
拜覆,敬覆者
留分,留分
人造絹,人造絹
排反事件,排反事件
演藝人,藝人
蜀魂鳥,鼎小鳥
紙砲,紙銃
安息香酸,安息酸
體循環,體循環
獨步,獨步
乾燥劑,乾燥劑
天上界,上界
劍鼻,劍環
夢色,夢精
刹那,瞬間
水銀軟膏,水銀軟膏
耳翼,耳翼
積雪量,降雪量
金簪,金釵
紫鴛鴦,紫鴛鴦
剖鹽石魚,剖鹽石魚
鉢釪,鉢釪
人造肥料,化學肥料
胎髮,胎髮
僧坊,伽藍
蘊蓄,蘊蓄
細胞膜,原形質膜
白砂,白砂
聯立政府,聯政
兼務,兼務
行政書士,行政書士
鬃帽,鬃帽
同盟罷工,同盟罷工
特消稅,特消稅
隣曲,隣曲
混姦,混姦
妄說,妄說
安堵感,安堵感
競合犯,競合犯
諜報,諜呈
土炭層,泥炭層
獵犬,獵犬
渡口,船埠
再次,再次
稚兒,稚子
千頭子,千頭子
所思,所思
大口目,呑魚目
個體,個物
綿絲,木綿絲
雞子白,雞子淸
沙時計,砂漏
浿西,浿西
兄弟,兄弟
癎疾,癎疾
餘響,餘響
孕身,有娠
草萊,陳荒處
勝景地,景勝
注疎,註疎
偏極,分極
田莊,田庄
嬭巖,乳巖
水晶幻視,水晶凝視
回旋舞,回舞
簡明,簡單明瞭
壻郞,東廂
渡頭,津河
驅蟲劑,殺蟲劑
胸膜炎,胸膜炎
營瘁,營瘁
釋奠祭,釋奠大祭
上宗,祖上
煤礦,煤礦
彌勒佛,彌勒菩薩
削奪,削奪
駑駘,駑馬
便紙,書字
沙漏計,沙漏
承平,承平
泉臺,陰府
築造,築造
金釵股,忍冬
病沒,病沒
宮殿,宮牆
嬰孩,童穉
菜油,菜種油
等標,等號
肺疳,氣疳
星石,隕石
寄稿家,寄書家
熱連結,竝列連結
純良,醇良
足迹,足迹
起爆藥,起爆藥
娼館,靑樓
武功,軍功
叛逆者,反逆者
三歸,三歸依
發育枝,發育枝
破裂,潰裂
腰輿,靈與
蜘網,蛛絲
植被,植被
文殊師利,文殊師利
委蛇,委蛇
聯絡,連絡
庖漢,屠者
奪還,奪回
內閣會議,閣議
出板,出板
諫言,諫言
肥土,沃土
名流,名家
輪廓,輪廓
長椽,下椽
壽石,壽石
緘口令,緘口令
節足動物,節肢動物
上府,上司
漫筆畫,漫筆畫
權病,權病
終乃,終乃
城堡,城堡
酒家,酒屋
器機廠,器機廠
郁李,鬱李
有煙藥,有煙藥
族譜,族譜
鼓詞,鼓子詞
沿屍,沿屍
龜甲,龜甲
古山子,金正浩
簫韶,韶箾
螺旋狀,螺狀
國際換,國際換
聖堂,芹宮
消滅,生成
拍子標,拍子記號
都會地,大處
無職者,無職業者
魚鱖,錦鱗魚
探照燈,射光機
絹織,絹織物
貢納,納貢
阿閦如來,阿閦佛
卒中風,卒中
彈劾權,彈劾訴追權
禮拜音樂,典禮音樂
屠人,屠者
倍體,倍數體
大輪圖,大輪圖
醫藥品,醫藥品
巡營,監營
戀人,佳人
卽知,機知
回回敎徒,回敎徒
强劫,强取
財産,財賄
假時,假時
藥品,藥品
阿諂,微諂
往返,往返
兇婦,凶婦
瀝靑巖,瀝靑石
來復,來復
凳牀,凳牀
交換局,交換局
純正律,純正調
風情,風情
禁裏,紫闥
漏局,報漏閣
向前,往者
黎元,黎首
刻期,刻限
解熱劑,消熱劑
祿料,祿俸
胸音,訃報
呪物崇拜,庶物崇拜
冥境,冥府
降生,降誕
見謁,謁見
軟鐵心,軟鐵棒
恣女,粉紅女
怪鬼,妖怪
菌傘,菌傘
蒜腦藷,百合
瘠薄地,沙石之地
錢法,貨幣制度
偶吟,偶詠
男俳優,女俳優
捕虜,被虜人
承諾,肯定
八不出,八不取
壽堂,壽穴
右相,牛台
胸襟,心襟
簾車,蓮荷
和音標,和音記號
進步,前進
凌郞,陵郞
朝家,朝廷
山臺雜戱,山臺舞劇
借邊,借方
唐體,唐體
隨筆,散錄
栝蔞,天瓜
石蜂,石蜂
內艱喪,內艱
加行位,加行位
坑道,坑道
悶悶,憫憫
菅履,菅履
綢部,廚人
派遣,派遣
磨沙,磨沙
問責,叱責
抱槍,水努
鮟鱇魚,鮟鱇魚
稀貴種,稀種
菱人,菱人
雙鞍駝,雙鞍駝
巢脾,巢脾
宦數,宦數
氷晶,氷霧
打擊順,打擊順
光度等級,光度階級
足足有餘,足足有餘
軟派,硬派
倒産,破産
戚聯,戚屬
蜀魂,蜀魄
韓構字,壬寅字
棄絶,破門
㿗疝,㿉疝
文藝科學,文藝學
孩提,幼兒
善行,嘉行
淨刹,紺園
閻魔大王,閻羅王
右補闕,右獻納
妖怪,怪鬼
泛酒,泛齊
輕爆擊機,輕爆
交互槪念,交叉槪念
海苔,甘苔
佳客,佳賓
防火栓,消火栓
他力宗,他力門
水努,抱槍
周易先生,卜人
胡壽,壽齡
騈儷文,騈儷體
尺翰,尺翰
轉輪聖帝,轉輪王
知遇,眷遇
婚禮,洞房華燭
身世,身勢
勞動階級,勞動階級
章句之學,章句之學
林學,林學
馬鈴薯,蕃薯
六呂,六陽聲
南氷洋,南氷洋
多肉果,漿果
猴薑,忍草
西都,西京
結婚式,婚禮
絶叫,絶叫
